wordCutOff = 0
featCutOff = 0
charCutOff = 0
initRange = 0.01
maxIter = 1000
batchSize = 1
adaEps = 1e-06
adaAlpha = 0.01
regParameter = 1e-08
dropProb = 0
linearHiddenSize = 30
hiddenSize = 200
rnnHiddenSize = 300
wordEmbSize = 50
wordcontext = 2
wordEmbFineTune = 1
charEmbSize = 50
charcontext = 2
charEmbFineTune = 1
charhiddenSize = 50
verboseIter = 100
saveItermediate = 1
train = 0
maxInstance = -1
outBest = 
relu = 0
seg = 0
atomLayers = 1
rnnLayers = 1

instance num: 16091

instance num: 803
Creating Alphabet...
100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500 1600 1700 1800 1900 2000 2100 2200 2300 2400 2500 2600 2700 2800 2900 3000 3100 3200 3300 3400 3500 3600 3700 3800 3900 4000 
4100 4200 4300 4400 4500 4600 4700 4800 4900 5000 5100 5200 5300 5400 5500 5600 5700 5800 5900 6000 6100 6200 6300 6400 6500 6600 6700 6800 6900 7000 7100 7200 7300 7400 7500 7600 7700 7800 7900 8000 
8100 8200 8300 8400 8500 8600 8700 8800 8900 9000 9100 9200 9300 9400 9500 9600 9700 9800 9900 10000 10100 10200 10300 10400 10500 10600 10700 10800 10900 11000 11100 11200 11300 11400 11500 11600 11700 11800 11900 12000 
12100 12200 12300 12400 12500 12600 12700 12800 12900 13000 13100 13200 13300 13400 13500 13600 13700 13800 13900 14000 14100 14200 14300 14400 14500 14600 14700 14800 14900 15000 15100 15200 15300 15400 15500 15600 15700 15800 15900 16000 
16091 
Label num: 32
Total word num: 34336
Total char num: 4085
Total feature num: 905734
Remain feature num: 905734
Remain words num: 34338
Remain char num: 4087
100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500 1600 1700 1800 1900 2000 2100 2200 2300 2400 2500 2600 2700 2800 2900 3000 3100 3200 3300 3400 3500 3600 3700 3800 3900 4000 
4100 4200 4300 4400 4500 4600 4700 4800 4900 5000 5100 5200 5300 5400 5500 5600 5700 5800 5900 6000 6100 6200 6300 6400 6500 6600 6700 6800 6900 7000 7100 7200 7300 7400 7500 7600 7700 7800 7900 8000 
8100 8200 8300 8400 8500 8600 8700 8800 8900 9000 9100 9200 9300 9400 9500 9600 9700 9800 9900 10000 10100 10200 10300 10400 10500 10600 10700 10800 10900 11000 11100 11200 11300 11400 11500 11600 11700 11800 11900 12000 
12100 12200 12300 12400 12500 12600 12700 12800 12900 13000 13100 13200 13300 13400 13500 13600 13700 13800 13900 14000 14100 14200 14300 14400 14500 14600 14700 14800 14900 15000 15100 15200 15300 15400 15500 15600 15700 15800 15900 16000 
16091 
100 200 300 400 500 600 700 800 803 
0 
##### Iteration 0
current: 100, total block: 16091
Cost = 24, Tag Correct(%) = 0.0231904
current: 200, total block: 16091
Cost = 6, Tag Correct(%) = 0.0536997
current: 300, total block: 16091
Cost = 10, Tag Correct(%) = 0.0727295
current: 400, total block: 16091
Cost = 11, Tag Correct(%) = 0.0905846
current: 500, total block: 16091
Cost = 10, Tag Correct(%) = 0.104731
current: 600, total block: 16091
Cost = 19, Tag Correct(%) = 0.117157
current: 700, total block: 16091
Cost = 63, Tag Correct(%) = 0.128715
current: 800, total block: 16091
Cost = 14, Tag Correct(%) = 0.140819
current: 900, total block: 16091
Cost = 9, Tag Correct(%) = 0.151307
current: 1000, total block: 16091
Cost = 29, Tag Correct(%) = 0.166325
current: 1100, total block: 16091
Cost = 13, Tag Correct(%) = 0.177664
current: 1200, total block: 16091
Cost = 27, Tag Correct(%) = 0.187899
current: 1300, total block: 16091
Cost = 1, Tag Correct(%) = 0.200608
current: 1400, total block: 16091
Cost = 8, Tag Correct(%) = 0.213187
current: 1500, total block: 16091
Cost = 9, Tag Correct(%) = 0.224257
current: 1600, total block: 16091
Cost = 15, Tag Correct(%) = 0.235258
current: 1700, total block: 16091
Cost = 5, Tag Correct(%) = 0.246825
current: 1800, total block: 16091
Cost = 19, Tag Correct(%) = 0.257065
current: 1900, total block: 16091
Cost = 8, Tag Correct(%) = 0.267251
current: 2000, total block: 16091
Cost = 19, Tag Correct(%) = 0.275855
current: 2100, total block: 16091
Cost = 5, Tag Correct(%) = 0.283968
current: 2200, total block: 16091
Cost = 10, Tag Correct(%) = 0.292897
current: 2300, total block: 16091
Cost = 4, Tag Correct(%) = 0.301133
current: 2400, total block: 16091
Cost = 8, Tag Correct(%) = 0.309451
current: 2500, total block: 16091
Cost = 7, Tag Correct(%) = 0.317958
current: 2600, total block: 16091
Cost = 7, Tag Correct(%) = 0.3264
current: 2700, total block: 16091
Cost = 11, Tag Correct(%) = 0.332889
current: 2800, total block: 16091
Cost = 11, Tag Correct(%) = 0.339162
current: 2900, total block: 16091
Cost = 24, Tag Correct(%) = 0.345751
current: 3000, total block: 16091
Cost = 17, Tag Correct(%) = 0.353007
current: 3100, total block: 16091
Cost = 13, Tag Correct(%) = 0.359844
current: 3200, total block: 16091
Cost = 24, Tag Correct(%) = 0.366544
current: 3300, total block: 16091
Cost = 11, Tag Correct(%) = 0.373653
current: 3400, total block: 16091
Cost = 9, Tag Correct(%) = 0.380172
current: 3500, total block: 16091
Cost = 15, Tag Correct(%) = 0.385683
current: 3600, total block: 16091
Cost = 4, Tag Correct(%) = 0.391029
current: 3700, total block: 16091
Cost = 9, Tag Correct(%) = 0.396651
current: 3800, total block: 16091
Cost = 13, Tag Correct(%) = 0.402163
current: 3900, total block: 16091
